round,faith_reliability_mean,faith_overclaim_mean,faith_invested_mean,trust_reliability_mean,trust_overclaim_mean,trust_invested_mean
106,0.5538147109905487,0.45925,0.008291666666666668,0.9171514891605129,0.004458333333333333,0.5791666666666667
107,0.5541113887722887,0.4576458333333333,0.008625,0.9171769436507953,0.004416666666666666,0.5790624999999999
108,0.5539047460925902,0.44714583333333335,0.008583333333333333,0.9170862676760017,0.0045625,0.5791666666666667
109,0.5540819221972414,0.48552083333333335,0.008354166666666668,0.9172296528826385,0.004333333333333334,0.5791458333333334
110,0.5540009489071251,0.4757708333333334,0.008520833333333333,0.9170866577339934,0.0045625,0.5788958333333333
111,0.554386058331525,0.447375,0.00875,0.917168573004029,0.0044375,0.5788333333333333
112,0.5535528774603121,0.49889583333333326,0.007916666666666667,0.917404588979419,0.0040625,0.5784375
113,0.5535080598700907,0.4754583333333333,0.0076875,0.9173999273103853,0.0040625,0.5783125
114,0.5536827072938794,0.45635416666666667,0.007583333333333333,0.9174404783009811,0.004,0.5786041666666667
115,0.5536791295236895,0.4680416666666667,0.008104166666666668,0.9172960920329661,0.004229166666666667,0.5791041666666666
116,0.5542912181500619,0.4621875,0.008625,0.9174454088327876,0.004,0.5792708333333333
117,0.5536049188242126,0.4988333333333334,0.0081875,0.9174612768728183,0.0039791666666666664,0.5791041666666666
118,0.554164697546015,0.49589583333333337,0.008291666666666668,0.917464045113571,0.0039791666666666664,0.5791666666666666
119,0.5536306662870615,0.4545208333333333,0.0078125,0.9174360775820132,0.004020833333333334,0.5790416666666666
120,0.5538128795734166,0.47841666666666666,0.008291666666666668,0.9175416283565347,0.0038541666666666668,0.5793333333333334
121,0.5538672910567862,0.5350625,0.00825,0.9175563324819404,0.003833333333333333,0.5792708333333333
122,0.5539586407429288,0.4500208333333333,0.008229166666666668,0.917322989584525,0.0041875,0.5786874999999999
123,0.5539283815832331,0.5130625000000001,0.008354166666666668,0.9173384151449865,0.004166666666666667,0.5790416666666666
124,0.5540017846020587,0.506375,0.008458333333333333,0.9169533286612541,0.004770833333333333,0.5788333333333333
125,0.5541258216123978,0.49066666666666664,0.008645833333333333,0.9169709614667503,0.00475,0.5792499999999999
126,0.5539080715419468,0.4773958333333333,0.0086875,0.9171387180182321,0.004479166666666667,0.5793333333333334
127,0.5542419613443822,0.45733333333333337,0.00825,0.9173509603089941,0.004145833333333334,0.57925
128,0.5536285729517,0.50625,0.008145833333333333,0.9172731772254683,0.004270833333333334,0.5790833333333333
129,0.5539337531974519,0.47775000000000006,0.008083333333333333,0.9174092307159274,0.0040625,0.5792499999999999
130,0.5533873317883443,0.4971041666666667,0.007666666666666666,0.917396348554428,0.004083333333333334,0.5790416666666667
131,0.5536693006577991,0.5451458333333333,0.00825,0.9173388612196555,0.004166666666666667,0.5785833333333333
132,0.5537507207255141,0.45589583333333333,0.007958333333333333,0.9173710635180049,0.004125,0.579
133,0.5538386642124559,0.49193749999999997,0.008,0.9174461299542679,0.004,0.5794791666666667
134,0.5536802395719896,0.5433125,0.008083333333333333,0.9174323973187318,0.004020833333333334,0.5794583333333333
135,0.554306868106281,0.5285208333333333,0.00825,0.9173937948990059,0.004083333333333334,0.5795
136,0.5538642678677969,0.5090625000000001,0.008125,0.9172057867343417,0.004375,0.5790416666666666
137,0.5537506692783797,0.5590625,0.007854166666666667,0.917240357947715,0.0043125,0.5788541666666666
138,0.5538899429315228,0.45275,0.008041666666666667,0.9171525892894493,0.004458333333333334,0.5790208333333333
139,0.5535899702213232,0.4892708333333333,0.007854166666666667,0.9173679582896828,0.004125,0.5792916666666666
140,0.554132423543229,0.477125,0.008125,0.9175544669317146,0.003833333333333333,0.5793541666666666
141,0.5536625326871275,0.5064583333333333,0.0079375,0.9171518845453445,0.004458333333333333,0.5785833333333333
142,0.5535530379380972,0.5057291666666667,0.0077083333333333335,0.9170866393662228,0.004562500000000001,0.5784375
143,0.553406939809581,0.4779791666666666,0.007625,0.9172017810868276,0.004375,0.5785208333333333
144,0.5537873627490689,0.529375,0.008,0.9173201261568898,0.0041875,0.5785833333333333
145,0.553755372836097,0.48052083333333334,0.008145833333333333,0.9174468366692893,0.004,0.5787083333333333
146,0.5538588709427062,0.49643750000000003,0.008520833333333333,0.9171945946244211,0.004395833333333333,0.5792499999999999
147,0.5537556534723908,0.5602083333333333,0.008104166666666668,0.917400187822746,0.0040625,0.5787291666666666
148,0.5540155716358659,0.4795833333333333,0.0084375,0.9172914110707427,0.004229166666666667,0.5784999999999999
149,0.5536629206292977,0.5456875,0.008083333333333333,0.917106659314039,0.004520833333333334,0.5783958333333333
150,0.5534944145113676,0.4945,0.0072499999999999995,0.9172649585652749,0.004270833333333334,0.5784375
151,0.5535009284030256,0.470875,0.007354166666666666,0.917532815777017,0.0038541666666666668,0.57875
152,0.5534732474944932,0.49189583333333337,0.007479166666666666,0.9173260680462003,0.0041875,0.5786041666666667
153,0.5539744273039706,0.454375,0.00825,0.9173526443511631,0.004145833333333334,0.5790000000000001
154,0.5537450687467897,0.5157916666666668,0.008770833333333334,0.917211886303595,0.004375,0.5787291666666667
155,0.5541542397592515,0.50975,0.008458333333333333,0.9172370407666705,0.004333333333333332,0.578875
156,0.55388290434135,0.4939166666666666,0.008270833333333333,0.9172717616189473,0.004270833333333334,0.5790624999999999
157,0.5537686170290111,0.505,0.008145833333333333,0.9170166290724975,0.004666666666666666,0.5787291666666666
158,0.5538731427412874,0.5167916666666666,0.0081875,0.9170610995978534,0.004604166666666666,0.5792083333333332
159,0.5539051825325274,0.5480416666666666,0.008291666666666668,0.9171649629185561,0.0044375000000000005,0.5792708333333333
